timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659948201086,14979,HTTP Request,200,OK,Practice 1-50,text,true,,3023,121,149,149,http://api.yinsoknara.tech/,14979,0,0
1659948202238,14222,HTTP Request,200,OK,Practice 1-63,text,true,,3027,121,148,148,http://api.yinsoknara.tech/,14222,0,0
1659948201311,15185,HTTP Request,200,OK,Practice 1-51,text,true,,3023,121,147,147,http://api.yinsoknara.tech/,15185,0,0
1659948202485,14101,HTTP Request,200,OK,Practice 1-64,text,true,,3019,121,146,146,http://api.yinsoknara.tech/,14099,0,0
1659948199272,17424,HTTP Request,200,OK,Practice 1-29,text,true,,3023,121,145,145,http://api.yinsoknara.tech/,17424,0,0
1659948202659,14164,HTTP Request,200,OK,Practice 1-61,text,true,,3027,121,144,144,http://api.yinsoknara.tech/,14164,0,0
1659948203021,13941,HTTP Request,200,OK,Practice 1-59,text,true,,3021,121,143,143,http://api.yinsoknara.tech/,13941,0,0
1659948203096,14022,HTTP Request,200,OK,Practice 1-62,text,true,,3027,121,142,142,http://api.yinsoknara.tech/,14004,0,0
1659948202145,15054,HTTP Request,200,OK,Practice 1-55,text,true,,3023,121,141,141,http://api.yinsoknara.tech/,15054,0,0
1659948202343,14957,HTTP Request,200,OK,Practice 1-57,text,true,,3029,121,140,140,http://api.yinsoknara.tech/,14957,0,0
1659948203410,13991,HTTP Request,200,OK,Practice 1-66,text,true,,3025,121,139,139,http://api.yinsoknara.tech/,13991,0,0
1659948200314,17200,HTTP Request,200,OK,Practice 1-43,text,true,,3027,121,138,138,http://api.yinsoknara.tech/,17200,0,0
1659948203576,14030,HTTP Request,200,OK,Practice 1-67,text,true,,3023,121,137,137,http://api.yinsoknara.tech/,14030,0,0
1659948203839,13998,HTTP Request,200,OK,Practice 1-68,text,true,,3025,121,136,136,http://api.yinsoknara.tech/,13998,0,0
1659948203992,13953,HTTP Request,200,OK,Practice 1-70,text,true,,3027,121,135,135,http://api.yinsoknara.tech/,13953,0,0
1659948203783,14250,HTTP Request,200,OK,Practice 1-4,text,true,,3023,121,134,134,http://api.yinsoknara.tech/,14191,0,0
1659948204037,14070,HTTP Request,200,OK,Practice 1-71,text,true,,3021,121,133,133,http://api.yinsoknara.tech/,14070,0,0
1659948204170,14005,HTTP Request,200,OK,Practice 1-73,text,true,,3023,121,132,132,http://api.yinsoknara.tech/,14005,0,0
1659948204254,14052,HTTP Request,200,OK,Practice 1-72,text,true,,3027,121,131,131,http://api.yinsoknara.tech/,14052,0,0
1659948200023,18369,HTTP Request,200,OK,Practice 1-39,text,true,,3033,121,130,130,http://api.yinsoknara.tech/,18369,0,0
1659948204407,14090,HTTP Request,200,OK,Practice 1-75,text,true,,3035,121,129,129,http://api.yinsoknara.tech/,14090,0,0
1659948203362,15235,HTTP Request,200,OK,Practice 1-65,text,true,,3023,121,128,128,http://api.yinsoknara.tech/,15234,0,0
1659948204624,14085,HTTP Request,200,OK,Practice 1-74,text,true,,3027,121,127,127,http://api.yinsoknara.tech/,14085,0,0
